text,filename,page_number,section,sub_category
"Embodiment relating to hyperimmunized egg product composition (2): In some embodiments, the hyperimmunized egg product comprises or consists of purified or partially purified IgY antibody to Enterococcus jaecalis.",gvhd-paper,25,detailed description,product composition
"Embodiment relating to hyperimmunized egg product composition (3): In some embodiments, the hyperimmunized egg product comprises or consists of purified or partially purified IgY antibody to Materococcus fueciim.",gvhd-paper,25,detailed description,product composition
"Embodiment relating to hyperimmunized egg product composition (4): In some embodiments, the hyperimmunized egg product comprises or consists of purified or partially purified IgY antibody to Enterococcus jaecalis and purified or partially purified IgY antibody to Laterococcus faecalis cytolysin toxin.",gvhd-paper,25,detailed description,product composition
"Embodiment relating to therapeutic use: In some embodiments, the hyperimmunized egg products described herein are used to treat alcoholic liver disease in a subject that has already developed the disease. For example, in some embodiments, the subject has alcoholic liver disease at the time of administration.",gvhd-paper,25,detailed description,disease rationale
"In some embodiments, at least 0.1%, 0.5%, 1%, 2%, 3%, 4% or 5% of fecal bacteria in the subject are Emerococcus spp. at the time of administration of the hyperimmunized egg product.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the subject has at least 100-fold, 500-fold, 1000-fold, 1500-fold, 2000-fold, or 2500-fold more F. jaecalis in the fecal sample relative to a subject that does not have alcoholic liver disease.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the hyperimmunized egg products described herein are used to prevent development of alcoholic liver disease in a subject.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the subject does not have alcoholic liver disease at the time of administration of the hyperimmunized egg product.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the subject has an alcohol related disorder other than alcoholic liver disease at the time of administration of the hyperimmunized egg product.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the subject is an alcohol abuser, an excessive drinker or a heavy drinker.",gvhd-paper,26,detailed description,disease rationale
"In a particular embodiment, the subject to which the hyperimmunized egg product is administered is a human.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the hyperimmunized egg products described herein are used to treat GVHD in a subject that has already developed the disease.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the subject has GVHD at the time of administration of the hyperimmunized egg product.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the subject having GVHD exhibits increased fecal levels of one or more inierococcus spp. (e.g. F. faecalis or F. faeciunt) relative to a healthy subject at the time of administration of the hyperimmunized egg product.",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the subject having GVHD has received an organ transplant, a stem cell [transplant].",gvhd-paper,26,detailed description,disease rationale
"In some embodiments, the subject has acute GVHD. In some embodiments, the subject has chronic GVHD.",gvhd-paper,27,detailed description,disease rationale
"In some embodiments, the hyperimmunized egg products described herein are used to prevent development of GVHD in a subject. For example, in some embodiments, the subject does not have GVHD at the time of administration of the hyperimmunized egg product.",gvhd-paper,27,detailed description,disease rationale
"In some embodiments, the subject has received a transplant (e.g. an organ transplant, a stem cell transplant, a bone marrow transplant, or an allogeneic hematopoietic cell transplant) but has not yet developed GVHD. In a particular embodiment, the subject to which the hyperimmunized egg product is administered is a human.",gvhd-paper,27,detailed description,disease rationale
"The hyperimmunized egg product of the present invention is administered to a subject (e.g. a human) by any means that treats or prevents alcoholic liver disease or GVHD in the subject. In certain embodiments, administration occurs by oral administration.",gvhd-paper,27,detailed description,disease rationale
"In other embodiments, the hyperimmunized egg product may be administered by injection, for example, intravenous, subcutaneous, or intramuscular injection. In a particular embodiment, the hyperimmunized egg product is purified or partially purified IgY that is administered by intravenous injection.",gvhd-paper,27,detailed description,product composition
"Any of several known pharmaceutical carriers can be used in the preparation of an injectable or otherwise administrable preparation, including phosphate buffered saline, saline, ethanol, propylene glycol and the like.",gvhd-paper,27,detailed description,product composition
"In some embodiments, the hyperimmunized egg product is administered through drinking water.",gvhd-paper,27,detailed description,product composition
"In certain embodiments, the hyperimmunized egg product is administered as a composition comprising one or more additional compounds, e.g. a nutrient or probiotic.",gvhd-paper,27,detailed description,product composition
"For example, in one embodiment, the hyperimmunized egg product of the invention is integrated into a dietary supplement. One method for preparing the egg of the invention to be incorporated into a dietary supplement involves drying the egg into an egg powder. Although various methods are known for drying eggs, spray drying is a preferred method. The process of spray drying eggs is well known in the art.",gvhd-paper,27,detailed description,product composition
"In some embodiments, the composition is an aqueous solution comprising the hyperimmunized egg product.",gvhd-paper,27,detailed description,product composition
"Tn certain embodiments, whole eggs are divided into separate fractions such as egg yolks and egg whites. For example, it is generaily known in the art that IgY antibody is found in egg yolks. Accordingly, those having ordinary skill in the art would clearly recognize that separation of egg yaiks could provide more potent fractions or elimination of undesirable components, and would allow for other modes of administration such as administering hypertmmunized egg product parenterally, subcutaneously, intravenously, intramuscularly, intraperitoneally, intranasally, orally or topically. Such further separation will provide for the ability to make encapsulated products and compositions comprising said egg or fraction thereof.",gvhd-paper,28,detailed description,product composition
"The hyperimmune egg product is preferably administered to the subject in an amount that is immunologically effective in treating or preventing alcoholic liver disease or GVHD. Dosage and duration of the administration will depend upon the particular condition of the subject. In some embodiments, the hyperimmunized egg product is administered to the subject for at least 5, 6, 7,8, 9, 10, 11, 12, 13, 14, 18, 20, 25, 30, 60, 90,180 or 365 days. The hyperimmunized egg product may be administered to the subject 1, 2,3, 4, 5, 6, 7, 8, 9, 10 or more times per day. Any of these values may be used to define a range for the number of times the hyperimmunized egg product may be administered to the subject per day. For example, in some embodiments the hyperimmunized egg product is administered to the subject 1-2 times per day, 1-3 times per day, or i-4 times per day. In some embodiments, the hyperimmunized egg product is administered to the subject at least twice per day. In some embodiments, the hyperimmunized egg product is administered to subject at least once per day. In some embodiments, the hyperrmmunized egg product is administered to the subject daily. In some embodiments, the hyperimmunized egg product is administered to the subject once every two days. In some embodiments, the hyperimmunized ege product is administered to the subject once every three days. In some embodiments, the hyperimmunized egg product is administered to the subject once per week. In a particular embodiment, the hyperrmmunized egg product is admimstered to the subject once per day for more than 1, 2,3, 4, 5, 6, 7, 8, 9 or 10 consecutive days.

In some embodiments, daily amounts ranging from less than one to several whole, hyperimmune eggs (or hyperimmune egg products containing the equivalent of less than one to several whole, hyperimmune eggs) can be administered to the subject depending on the particular circumstance of the condition. More potent fractions can be separated and",gvhd-paper,28,detailed description,product composition
"In certain embodiments, the effective amount of the hyperimmunized egg product administered to a subject (e.g, a human) is 0.1, 0.2, 03, 0.4, 0.5, 0.6, 0.7,08 0.9 12,3, 4,5, 206, 7,89, 10,20, 30, 40 or 50 grams per day. For example, in some embodiments, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1, 2,3, 4, 5, 6, 7, 8, 9, 10, 20, 30, 40 or 50 grams per day of whole egg are administered to the subject. In some embodiments, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1,2,3,4,5,6,7,8,9, 10,20,30,40 orams per day of egg yolk are administered to the subject. In some embodiments, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 9.7, 9.8, 0.9, 1, 2,3, 4, 3, 6, 7, 8, 9 or 10 grams per day of dried egg yolk or dried whole egg are administered to the subject. Any of these values may be used to define a range for the effective amount of the hyperimmunized egg product administered to the mammal. For example, in some embodiments the effective amount of the hyperimmunized egg product is between 0.1 and 10 grams, between 0.5 to 6 grams, or between | and 5 grams per day. In a particular embodiment, 3 grams of egg yolk are administered to the subject (e.g., a human) per day.",gvhd-paper,29,detailed description,product composition
"In certain embodiments, the composition comprises at least 0.01%, 0.05%, 0.1%, 0.5%, 1%, 2%, 3%, 4%, 5%, 6%, 7%, 8%, 9%, 10%, 15%, 20%, 25%, 30%, 35%, 40%, 45%, 50%, 55%, 60%, 65%, 70%, 75%, 80%, 85%, 90%, 95%, 96%, 97%, 98% or 99% w/w of the hyperimmunized egg product. Any of these values may be used to define a range for the concentration of the hyperimmunized egg product in the composition. For example, in some embodiments, the composition comprises between 0.01% and 50%, between 0.1% and 50%, or between 1% and 50% w/w of the hyperimmunized egg product.",gvhd-paper,29,detailed description,product composition
Example i. Preparation and evaluation of anti-iuteroceccus faecalis and anti-cytelysin IgY antibodies: The current study was designed to evaluate the effectiveness of hyperimmune egg containing targeted IgY antibodies against faecalis cytolysin toxin and L. faecalis when orally administered to a humanized mice ALD model that are colonized with bacteria from the feces of patients with alcoholic hepatitis. A schematic of the experiment is provided in Figure 1.,gvhd-paper,29,detailed description,product composition
"Methods

Preparation of Hyperimmune Ege Powder

Two (2) ra of primary culture of Maieracoccus faecalis was initiated from glycerol stocks. A large batch of culture was developed by inoculating with the primary culture at 0.2% in a 500 mL culture bottle and grown overnight at 37°C with shaking at 180 rpm. Bacteria were pelleted by centrifugation at 6000 rpm at 4°C. The pellet was washed once with ice cold PBS. The pellet was again resuspended in ice cold PBS, transferred into a glass tube and was sonicated for 10 cycles at the highest setting for 30 minutes each cycle. The resulting lysate was centrifuged at 10,000 rpm at 4°C for 15 min and the supernatant was collected. Total protein was quantified by BCA protein assay.

Preparation of recombinant cytolysi

Pure recombinant £. jaecalis cytolysin toxin was prepared by Genscript USA, Piscataway, NJ.

Llyperimmunization protocol

A mixture of F. faecalis bacterial lysate and E. faecalis cytolysin toxin were diluted to 2me/mL and | mg/ml in PBS, tespectively, and were used as the moculum. Separate chickens were immunized with each of the antigens using a 1:1 mixture of the inoculum and Freund’s complete adjuvant.

Immunizations were performed at 0, 4, 7, 14 and 28 days and egys were collected.

Extraction of Antibody for Evaluation of Titer and Neutralization

IgY antibody was extracted from hyperrmmunized eggs using a water dilution method. 100 wL of the yolk was diluted in 10 ml of water, mixed thoroughly, and centrifuged to pellet the lipids while the antibodies and other soluble egg proteins were extracted into the water phase. The water phase was used to evaluate titer determination by ELISA as described below.

For neutralization assays, lgY was extracted from hyperimmunized egg yolks by water dilution and a NaCl precipitation method. Four to five egg yolks were diluted at 1:10 ratio with water acidified to pH 5 using 0.5 M HCI and frozen overnight. Diluted egg voik was thawed at 37°C and centrifuged at 6000 rpm for 20 min to separate the lipids. The supernatant was filtered and mixed with 8.8%

29

SUBSTITUTE SHEET (RULE 26)",gvhd-paper,30,detailed description,product composition
"Evaluation of Target Snecitic Antibody Titer

Specific activity of IgY antibody against £. faecalis and cytolysin antigens was measured by indirect ELISA. ELISA results indicated positive binding of IgY to the specific antigens when compared to the control I¢¥ with a high titer of 1:32,000. See Figures 3A and 3B.

Target Neutralization and Evaluation

Growth inhibitory effects of IgY antibodies on £. faecalis were investigated. Whole cell £. faecalis bacteria were incubated with 15 mg/ml of ieY, and cfu analysis was performed after 24 h incubation. Treatment with 15 mg/ml IgY inhibited by >70% the growth of L. faecalis as visualized by reduction in the number of colonies on the agar plate. See Figure 4.

The growth inhibitory effect of IgY on F. faecalis was quantitated, and the percent imbibition was plotted. See Figure 3. Treatment of /. faecalis with anti-. faecalis+cytalsyin IgV antibody at 15 mg/ml concentration resulted in 73% inhibition of £. faecalis growth, indicating successful generation of neutralizing antibodies to /. faecalis. See Figure 5.",gvhd-paper,32,detailed description,product composition
"Example 2. Effect of oral feeding of anti-Enterococcus faecalis and anti-cytolysin ig¥ antibodies in an Aleoholic Liver Disease Mouse Model

Methods

Preparation of Eeg Powder for Preclinical Studies

Ege white and yolks were homogenized and freeze dried to create an egg powder. Ege powder was stored at 4°C. The freeze-dried egg powder was analyzed for antibody activity as described above in Example 1, and then evaluated in the humanized model of alcoholic liver disease (ALD) described below.

Stool samples from cytclysin-positive human patients with alcoholic hepatitis were used for fecal transplantation in germ-free mice. Mice were gavaged with 100 ul of stool samples (1 g stool dissolved in 30 ml Luria-Bertani (LB) medium containing 15% glycerol under anaerobic conditions), starting at an age of 5-6 weeks and repeated two weeks later. Two weeks after the second gavage, mice were placed on the ethanol or control (isocaloric) diet as described by Duan et al., 2019, Nature 75: S05-31.",gvhd-paper,32,detailed description,disease rationale
"Embodiment: An alcoholic liver disease (ALD) model in mice. In this embodiment, male and female C57BL/6 germ‐free mice are bred and subjected to fecal transplantation using stool samples from a cytolysin‐positive human patient with alcoholic hepatitis. The mice are fed a Lieber-DeCarli diet, with 0% ethanol on days 1-5 and 36% ethanol from day 6 until the end of the study. At day 16, the mice are gavaged with a single dose of ethanol (5 µl/ke body weight) in the early morning and sacrificed 9 hours later. The diet is supplemented with egg powder containing either control IgY from eggs of non-immunized hens or anti-F. joecalistanti-cytolysin IgY at doses of 1, 5, or 13 mg per day. Experimental evaluations include measurements of serum ALT, liver pathology, weight gain, liver weight, and feed intake.",gvhd-paper,33,detailed description,disease rationale
